"","Centris No.","Address","Price","Asked/Sold Prce","Asking Price sqft","Bathrooms (number)","Bedrooms (number)","Living Area (Imperial)","DOM","Garage (number)","Lot Area (Imperial)","Mun./Bor.","Parking","Price/Sqft","Rms","Sold / Rented Price","ST","Updated Listings Date"
"","19731793","250 Av. Westminster N.","$1,425/month X 12 month(s)","","","1","2","","112 Days","","","Montréal Ouest","","","6","$1,500/m","SO","2022-12-07"
"","18087304","436 Av. Westminster N.","$2,100/month X 12 month(s)","","","1","3","","144 Days","","","Montréal Ouest","Driveway","","5","$1,850/m","SO","2023-12-18"
"","23348336","452 Av. Westminster N.","$1,900/month X 12 month(s)","","","1","3","","","","","Montréal Ouest","Driveway","","5","","AC","2024-01-27"
"","12251194","460 Av. Westminster N.","$359,000","$359,000","","1","3","943.99 sqft","","","","Montréal Ouest","Driveway","$380","7","","EX","2022-04-01"
"","12952645","476 Av. Westminster N.","$2,900/month X 12 month(s)","","","1","3","810 sqft","","","","Montréal Ouest","","","5","","AC","2024-02-09"
"","24454072","486 Av. Westminster N.","$1,900/month X 12 month(s)","","","1","3","1,135.59 sqft","","","","Montréal Ouest","","","6","","EX","2023-09-02"
"","22701986","486 Av. Westminster N.","$1,800/month X 12 month(s)","","","1","3","","","","","Montréal Ouest","","","6","","EX","2023-12-14"
"","10094423","45 Av. Westminster S., apt. 205","$950,340 + GST/QST","$1,092,653","","2","2","1,529 sqft","","1","","Montréal Ouest","Garage","$715","6","","AC","2024-01-26"
"","17786243","45 Av. Westminster S., apt. 401","$1,699,967 + GST/QST","$1,954,537","","2","3","2,153 sqft","","2","","Montréal Ouest","Garage","$908","10","","AC","2024-01-01"
"","21349612","45 Av. Westminster S., apt. 308A","$1,305,410 + GST/QST","$1,500,895","","2","3","2,146 sqft","","2","","Montréal Ouest","Garage","$699","8","","EX","2024-01-01"
"","20384507","45 Av. Westminster S., apt. 309","$480,870 + GST/QST","$552,880","","1","1","822 sqft","","","","Montréal Ouest","","$673","4","","EX","2024-01-01"
"","25875119","45 Av. Westminster S., apt. 308","$824,540 + GST/QST","$948,015","","1","2","1,324 sqft","","","","Montréal Ouest","","$716","6","","EX","2024-01-01"
"","27947897","45 Av. Westminster S., apt. 303","$601,380 + GST/QST","$691,437","","1","1","1,028 sqft","","","","Montréal Ouest","","$673","5","","EX","2024-01-01"
"","25842469","45 Av. Westminster S., apt. 205","$927,450 + GST/QST","$1,066,335","","2","2","1,529 sqft","","1","","Montréal Ouest","Garage","$697","6","","EX","2024-01-01"
"","25291596","45 Av. Westminster S., apt. 209","$472,650 + GST/QST","$510,351","","1","1","822 sqft","","1","","Montréal Ouest","Garage","$621","5","","EX","2024-01-01"
"","27864609","45 Av. Westminster S., apt. 208","$811,300 + GST/QST","$879,513","","2","2","1,324 sqft","","1","","Montréal Ouest","Garage","$664","5","","EX","2024-01-01"
"","28533627","45 Av. Westminster S., apt. 206","$408,250 + GST/QST","$440,814","","1","1","710 sqft","","1","","Montréal Ouest","Garage","$621","5","","EX","2024-01-01"
"","17947448","45 Av. Westminster S., apt. 204","$957,925 + GST/QST","$1,037,833","","2","2","1,560 sqft","","1","","Montréal Ouest","Garage","$665","7","","EX","2024-01-01"
"","22672452","45 Av. Westminster S., apt. 203","$591,100 + GST/QST","$638,249","","1","1","1,028 sqft","","","","Montréal Ouest","","$621","5","","EX","2024-01-01"
"","11772344","45 Av. Westminster S., apt. 202","$537,625 + GST/QST","$580,508","","1","1","935 sqft","","","","Montréal Ouest","","$621","5","","EX","2024-01-01"
"","17327412","45 Av. Westminster S., apt. 105","$346,150 + GST/QST","$373,760","","1","0","602 sqft","","","","Montréal Ouest","","$621","2","","EX","2024-01-01"
"","14121508","45 Av. Westminster S., apt. 101","$240,600 + GST/QST","$254,076","","1","0","401 sqft","107 Days","","","Montréal Ouest","","$634","2","$230,600+ GST/QST","SO","2023-01-12"
"","14947386","420 Av. Wolseley N.","$2,000/month X 12 month(s)","","","1","3","1,400 sqft","","","","Montréal Ouest","","","8","","AC","2024-02-08"
"","24810251","427 Av. Wolseley N.","$1,500/month X 1 year(s)","","","1","3","","28 Days","","","Montréal Ouest","","","5","$1,500/m","SO","2023-12-17"
"","17345364","435 Av. Wolseley N.","$1,600/month X 12 month(s)","","","1","2","","","","4,090.28 sqft","Montréal Ouest","","","7","","EX","2023-08-08"
"","24547730","453 Av. Wolseley N.","$2,000/month X 1 year(s)","","","1","3","","46 Days","","","Montréal Ouest","","","6","$2,000/m","SO","2023-11-21"
"","14140447","12 Av. Wolseley S.","$2,200/month X 1 year(s)","","","2","3","","88 Days","2","4,425.04 sqft","Montréal Ouest","Garage","","6","$2,200/m","SO","2023-12-16"
